Unnamed: 0,Subject,Session,n_black,w0
0,P0003,20230927164642,1.0,2.730387
1,P0003,20230928180538,1.0,2.729409
2,P0003,20231003162834,1.0,2.727851
3,P0003,20231004161510,2.0,2.730638
4,P0003,20231005183315,2.0,2.729305
5,P0003,20231009170558,2.0,2.732057
6,P0003,20231010170450,2.0,2.730046
7,P0003,20231011155330,2.0,2.730298
8,P0003,20231016145010,4.0,2.73445
9,P0003,20231017153058,2.0,2.732003
10,P0003,20231018144455,2.0,2.730935
11,P0003,20231019140413,2.0,2.731209
12,P0003,20231023143153,2.0,2.731002
13,P0003,20231024194752,1.0,2.728854
14,P0003,20231030143250,6.0,2.740577
15,P0003,20231031150517,6.0,2.738115
16,P0003,20231101144234,5.0,2.737103
17,P0003,20231102152114,4.0,2.734399
18,P0003,20231106164746,3.0,2.733063
19,P0003,20240226191914,3.0,2.731724
20,P0003,20240227143405,1.0,2.729949
21,P0003,20240228144738,3.0,2.733054
22,P0004,20230629100751,5.0,2.707364
23,P0004,20230705075534,5.0,2.707535
24,P0004,20230706122347,5.0,2.706617
25,P0004,20230710092716,5.0,2.707564
26,P0004,20230717150819,5.0,2.707216
27,P0004,20230814132223,5.0,2.707297
28,P0004,20230821081945,5.0,2.707282
29,P0004,20230823104750,5.0,2.706744
30,P0004,20230824084610,4.0,2.706353
31,P0004,20230825102439,4.0,2.706146
32,P0004,20230828083112,5.0,2.70693
33,P0004,20230830085431,5.0,2.706878
34,P0004,20230831083846,4.0,2.70462
35,P0004,20230901085403,4.0,2.705915
36,P0004,20240115085627,4.0,2.706201
37,P0004,20240117095633,4.0,2.705478
38,P0004,20240118081140,4.0,2.705237
39,P0004,20240119083620,4.0,2.705944
40,P0004,20240226100203,5.0,2.706828
41,P0004,20240227075502,5.0,2.706709
42,P0004,20240229082002,4.0,2.70629
43,P0007,20231107095915,4.0,2.699332
44,P0007,20231107101500,3.0,2.699181
45,P0008,20231101135602,1.0,2.703472
46,P0008,20231101140743,1.0,2.703299
47,P0008,20231101141503,1.0,2.703096
48,P0008,20231101142916,1.0,2.702895
49,P0008,20231101145303,1.0,2.702639
50,P0008,20231101145908,1.0,2.702323
51,P0008,20240312080322,4.0,2.701667
52,P0008,20240313071948,4.0,2.701776
53,P0008,20240314080347,4.0,2.701683
54,P0009,20230619164159,2.0,2.70322
55,P0009,20230621095657,3.0,2.70527
56,P0009,20230622093334,3.0,2.705301
57,P0009,20230623094531,3.0,2.705791
58,P0009,20230626114009,2.0,2.703784
59,P0009,20230628122618,4.0,2.706303
60,P0009,20230629175409,4.0,2.70667
61,P0009,20230630093957,4.0,2.706716
62,P0009,20230703094159,1.0,2.701197
63,P0009,20230704162244,3.0,2.705902
64,P0009,20230705154338,3.0,2.704358
65,P0009,20230707084743,3.0,2.704135
66,P0009,20230710092545,3.0,2.704373
67,P0009,20230719095652,3.0,2.705845
68,P0009,20230721094001,4.0,2.706637
69,P0009,20230724125055,4.0,2.706647
70,P0009,20230725094314,3.0,2.70478
71,P0009,20230726093400,3.0,2.70609
72,P0009,20230727151503,3.0,2.704478
73,P0009,20230731131816,5.0,2.707918
74,P0009,20230807150155,4.0,2.706551
75,P0009,20230809093310,4.0,2.707433
76,P0009,20230905093527,4.0,2.707329
77,P0009,20230907092841,3.0,2.705517
78,P0009,20230911161444,3.0,2.70543
79,P0009,20230912092018,4.0,2.706852
80,P0009,20230918154853,5.0,2.707584
81,P0009,20231003162058,5.0,2.70807
82,P0009,20231004142303,6.0,2.709822
83,P0009,20231016143746,6.0,2.708852
84,P0009,20231019083153,3.0,2.70527
85,P0009,20231031102232,4.0,2.708518
86,P0009,20231116145830,4.0,2.708026
87,P0009,20231117093757,5.0,2.707643
88,P0009,20240311115251,5.0,2.708284
89,P0009,20240312093459,5.0,2.707584
90,P0009,20240313083821,4.0,2.707352
91,P0010,20240304092435,2.0,2.718053
92,P0010,20240305091810,2.0,2.717719
93,P0010,20240307091945,2.0,2.718958
94,P0012,20230915095751,6.0,2.700332
95,P0012,20231012090832,4.0,2.695501
96,P0012,20231019082834,2.0,2.693028
97,P0012,20231102072526,3.0,2.693102
98,P0012,20231110110115,3.0,2.69311
99,P0012,20231207100537,2.0,2.690345
100,P0012,20231213082836,3.0,2.696722
101,P0012,20231221071744,2.0,2.692649
102,P0012,20240206101312,1.0,2.689189
103,P0012,20240208105104,1.0,2.688682
104,P0012,20240403093142,2.0,2.693759
105,P0012,20240404082136,2.0,2.693187
106,P0012,20240405091422,2.0,2.693912
107,P0013,20230621132858,1.0,2.699513
108,P0013,20240408085308,2.0,2.709198
109,P0013,20240409080856,2.0,2.70822
110,P0013,20240410081030,2.0,2.709776
111,P0014,20230913105152,2.0,2.721602
112,P0014,20230926101300,2.0,2.71651
113,P0014,20231003103530,2.0,2.719428
114,P0014,20240304152521,2.0,2.719056
115,P0014,20240305101203,2.0,2.717195
116,P0014,20240306085139,2.0,2.718459
117,P0017,20240209102454000000,2.0,2.721833
118,P0017,20240212104820000000,2.0,2.719771
119,P0017,20240213101206000000,1.0,2.718367
120,P0017,20240214101745000000,1.0,2.718769
121,P0017,20240215101406,1.0,2.718184
122,P0020,20240320161128,4.0,2.729971
123,P0020,20240321111058,4.0,2.729149
124,P0020,20240322121526,3.0,2.723318
125,P0020,20240325160454,4.0,2.727226
126,P0020,20240326150650,4.0,2.726557
127,P0020,20240327093628,4.0,2.727298
128,P0020,20240328100559,2.0,2.723346
129,P0020,20240402115656,0.0,2.718197
130,P0020,20240403144347,2.0,2.726969
131,P0020,20240409110436,0.0,2.720811
132,P0020,20240410085959,1.0,2.724617
133,P0020,20240412105043,4.0,2.729102
134,P0020,20240416152638,4.0,2.728704
135,P0020,20240417153058,4.0,2.727793
136,P0020,20240418144739,4.0,2.728025
137,P0020,20240419161029,4.0,2.728541
138,P0020,20240422110548,1.0,2.719205
139,P0023,20230913105802,0.0,2.685819
140,P0023,20240319152741,0.0,2.677834
141,P0023,20240320154616,0.0,2.676767
142,P0023,20240321103219,0.0,2.678024
143,P0027,20231012161014,0.0,2.729932
144,P0027,20231107113643,1.0,2.733207
145,P0027,20240304095313,0.0,2.730173
146,P0027,20240305092247,0.0,2.730821
147,P0027,20240306132526,1.0,2.731699
148,P0027,20240307092215,1.0,2.731137
149,P0027,20240311092901,1.0,2.731967
150,P0027,20240313101045,0.0,2.729346
151,P0027,20240320141045,0.0,2.728932
152,P0027,20240321133021,0.0,2.729242
153,P0027,20240325091522,0.0,2.729497
154,P0027,20240401091415,0.0,2.727195
155,P0027,20240403090447,0.0,2.72682
156,P0027,20240408100908,0.0,2.727469
157,P0027,20240415105911,0.0,2.728255
158,P0027,20240417091427,0.0,2.727448
159,P0027,20240422091347,0.0,2.724747
160,P0029,20240209102454,2.0,2.721833
161,P0029,20240212104820,2.0,2.719771
162,P0029,20240213101206,1.0,2.718367
163,P0029,20240214101745,1.0,2.718769
164,P0029,20240215101406,1.0,2.718184
165,P0029,20240216101441,0.0,2.717686
166,P0029,20240219101508,0.0,2.714812
167,P0029,20240220102511,0.0,2.714138
168,P0029,20240221101105,0.0,2.714424
169,P0029,20240222100850,0.0,2.714511
170,P0029,20240223134305,0.0,2.715057
171,P0029,20240224121223,0.0,2.716071
172,P0029,20240229102506,0.0,2.717058
173,P0029,20240301115421,0.0,2.714484
174,P0029,20240311102555,0.0,2.714389
175,P0029,20240312104439,0.0,2.713663
176,P0029,20240313103939,0.0,2.712915
177,P0029,20240314103905,0.0,2.712827
178,P0029,20240315104154,0.0,2.713294
179,P0029,20240318110247,0.0,2.710101
180,P0029,20240319111148,0.0,2.710313
181,P0029,20240320103747,0.0,2.708385
182,P0029,20240321111145,0.0,2.709948
183,P0029,20240322103234,0.0,2.70899
184,P0029,20240326102918,0.0,2.707214
185,P0029,20240328115023,0.0,2.707339
186,P0029,20240401101825,0.0,2.708586
187,P0029,20240405103141,2.0,2.712213
188,P0029,20240415101749,0.0,2.710139
189,P0030,20240212155447,0.0,2.691709
190,P0030,20240213144630,0.0,2.691541
191,P0030,20240214145136,0.0,2.691295
192,P0030,20240215094828,0.0,2.691553
193,P0030,20240216085954,0.0,2.691516
194,P0031,20240318081439,4.0,2.733479
195,P0031,20240319081427,4.0,2.731885
196,P0031,20240322081806,0.0,2.721085
197,P0039,20230908101845,0.0,2.706623
198,P0039,20230914130702,0.0,2.703284
199,P0039,20231106081553,4.0,2.714515
200,P0039,20231107075151,0.0,2.7026
201,P0039,20231108080542,0.0,2.701521
202,P0039,20231109083901,0.0,2.701172
203,P0039,20231110092316,0.0,2.70332
204,P0039,20231113090343,0.0,2.701729
205,P0039,20231114092421,0.0,2.703052
206,P0039,20231115083617,0.0,2.705259
207,P0039,20231120082751,0.0,2.698284
208,P0039,20231121075056,0.0,2.698483
209,P0039,20231122075040,0.0,2.69926
210,P0039,20231127101409,0.0,2.701319
211,P0039,20231129080301,0.0,2.700935
212,P0039,20231130080454,0.0,2.700337
213,P0039,20231201083928,0.0,2.702767
214,P0039,20231204092804,0.0,2.701384
215,P0039,20231206081850,0.0,2.699567
216,P0039,20231207081337,0.0,2.700569
217,P0039,20231208095515,0.0,2.699574
218,P0039,20231212081746,0.0,2.696706
219,P0039,20231213074331,0.0,2.699417
220,P0039,20231214090304,0.0,2.6991
221,P0039,20231215080515,0.0,2.698374
222,P0039,20231218093330,0.0,2.697783
223,P0039,20231219075843,0.0,2.697493
224,P0039,20231221091802,0.0,2.699755
225,P0039,20231222084532,0.0,2.700435
226,P0039,20231229094441,0.0,2.700667
227,P0039,20240102074747,0.0,2.700897
228,P0039,20240108075637,0.0,2.700172
229,P0039,20240109082835,0.0,2.700781
230,P0039,20240110090505,0.0,2.70178
231,P0039,20240111081441,0.0,2.70085
232,P0039,20240112081130,0.0,2.701858
233,P0039,20240116122813,0.0,2.69949
234,P0039,20240122075953,0.0,2.703495
235,P0039,20240123093932,0.0,2.702165
236,P0039,20240125081132,0.0,2.702354
237,P0039,20240126080726,0.0,2.702584
238,P0039,20240129074340,0.0,2.699507
239,P0039,20240130082431,0.0,2.700975
240,P0039,20240131094822,0.0,2.699497
241,P0039,20240201080215,0.0,2.699939
242,P0039,20240202093220,0.0,2.700863
243,P0039,20240207083415,0.0,2.699173
