index,Subject,Session,PSNR,MSE,NMI,SSIM,SoftwareVersions
0,P0003,20230927164642,33.40718745508805,0.0026262785242023,1.4620276040755698,0.9844703740456832,8.6.0
1,P0003,20230928180538,32.801401284973366,0.0027640728518901,1.4544627101706995,0.983688979744792,8.6.0
2,P0003,20231003162834,33.03958524917992,0.0026952110078508,1.4572514324654984,0.9839502563758386,8.6.0
3,P0003,20231004161510,33.504831694528924,0.0028832463866549,1.461046950165205,0.9830699397681304,8.6.0
4,P0003,20231005183315,33.25936815580669,0.0026766357108361,1.4599578523272687,0.984005325124078,8.6.0
5,P0003,20231009170558,33.273788181635425,0.0026067666803258,1.4614835161168491,0.9846390109901152,8.6.0
6,P0003,20231010170450,32.967104339653034,0.0027572869241465,1.4561475778354376,0.983826044637584,8.6.0
7,P0003,20231011155330,33.278137915802326,0.0026191039784965,1.4610272252915577,0.98455969182539,8.6.0
8,P0003,20231016145010,33.64685256678134,0.0027356192606341,1.4639000265690936,0.9839489116070336,8.6.0
9,P0003,20231017153058,32.731760050293055,0.0031492896843139,1.4483061150187668,0.9817933999253676,8.6.0
10,P0003,20231018144455,33.27270246697162,0.0026924024991167,1.4599839377078745,0.9845563006352864,8.6.0
11,P0003,20231019140413,33.279528242613644,0.0027823155434025,1.4589198725517856,0.9839461940554406,8.6.0
12,P0003,20231023143153,33.291648840790735,0.0027245595746443,1.4601361196524598,0.9839855973814964,8.6.0
13,P0003,20231024194752,32.996062163305496,0.0026892637005537,1.4567432959990665,0.984062163321606,8.6.0
14,P0003,20231030143250,33.64894228466287,0.0028535497878339,1.4635120386051117,0.9825906987938948,8.6.0
15,P0003,20231031150517,33.89512062681262,0.0027245475015327,1.46738293059227,0.9837106829102809,8.6.0
16,P0003,20231101144234,33.95568500921942,0.0026829277537674,1.468301505482617,0.9841779698755292,8.6.0
17,P0003,20231102152114,33.91323485832108,0.0026324028441473,1.4681461014658974,0.9846062509611708,8.6.0
18,P0003,20231106164746,33.27322268883256,0.0026586303397999,1.4610651425880106,0.984492011854357,8.6.0
19,P0003,20240226191914,33.24746044698759,0.0026866598223586,1.4601361833771862,0.9842371740294972,8.6.1
20,P0003,20240227143405,33.1579718482852,0.0026532499380553,1.4592058649054764,0.9844623932736692,8.6.1
21,P0003,20240228144738,33.1421024697482,0.0028582771010531,1.456746321672943,0.9831652432771532,8.6.1
22,P0004,20230629100751,34.602683296918954,0.0025777987558094,1.484907091030354,0.9825073268324236,rc8.7.0_Beta1
23,P0004,20230705075534,34.56300353791072,0.0025518278416776,1.4848590392690646,0.9829943689725228,rc8.7.0_Beta1
24,P0004,20230706122347,33.96734509385214,0.0027713978255371,1.4750494710446067,0.9813210668920198,rc8.7.0_Beta1
25,P0004,20230710092716,34.33934178993057,0.0025949600745408,1.4814651734013724,0.9825187578517932,rc8.7.0_Beta1
26,P0004,20230717150819,34.33225578719401,0.0026060300328614,1.481348627313812,0.9825743898993532,rc8.7.0_Beta1
27,P0004,20230814132223,34.58605586826802,0.0025635751055578,1.4848371361890518,0.9827967369563764,rc8.7.0_Beta1
28,P0004,20230821081945,34.46057842827795,0.0025501975409169,1.48335974501003,0.9833334160983884,rc8.7.0_Beta1
29,P0004,20230823104750,34.02971473310208,0.0028586886978167,1.4752143114097007,0.9805939930840664,rc8.7.0_Beta1
30,P0004,20230824084610,34.23683313736057,0.0025100141104737,1.4808464462973767,0.9831207440218512,rc8.7.0_Beta1
31,P0004,20230825102439,34.62827649262297,0.0025201705274798,1.4857649282082088,0.9831909598193722,rc8.7.0_Beta1
32,P0004,20230828083112,33.90261888196321,0.0029014280795487,1.4745739338114552,0.9803232828688,rc8.7.0_Beta1
33,P0004,20230830085431,34.51444229985562,0.0025390665033633,1.48398095386648,0.9830890885540234,rc8.7.0_Beta1
34,P0004,20230831083846,34.19097296678914,0.0026625464234871,1.4790910740564749,0.9818501187617976,rc8.7.0_Beta1
35,P0004,20230901085403,34.5676794333987,0.0025813816138979,1.484573892893703,0.9827122390061448,rc8.7.0_Beta1
36,P0004,20240115085627,34.75528765809167,0.0028280288920902,1.485359726214245,0.9814238780471116,rc8.7.0_Beta1
37,P0004,20240117095633,34.59536284298895,0.0027439334969729,1.482951052247921,0.9819987293632488,rc8.7.0_Beta1
38,P0004,20240118081140,34.268778753950706,0.0027724081104353,1.4786403691106818,0.9814363900793528,rc8.7.0_Beta1
39,P0004,20240119083620,33.99963974409324,0.0026989065609965,1.4747847167462107,0.979647645351558,rc8.7.0_Beta1
40,P0004,20240226100203,34.3760840963175,0.0026620544466702,1.480245649712315,0.9808330610512946,rc8.7.0_Beta1
41,P0004,20240227075502,34.52323169935154,0.002599512995144,1.482998676134656,0.9817188485717976,rc8.7.0_Beta1
42,P0004,20240229082002,34.2953949637625,0.0026281454337877,1.4793248988003256,0.981276914733558,rc8.7.0_Beta1
43,P0007,20231107095915,35.0842542433743,0.0024131053786053,1.4928531553716975,0.9846429465804808,rc8.7.0_Beta1
44,P0007,20231107101500,34.96343385624159,0.0023928392316437,1.4921271085967702,0.9849620522550898,rc8.7.0_Beta1
45,P0008,20231101135602,34.39927906814589,0.0021093300487705,1.4873206317281793,0.9868776050242224,rc8.7.0_Beta1
46,P0008,20231101140743,34.57427477244739,0.0020504910515707,1.4909291273170966,0.9872204238727283,rc8.7.0_Beta1
47,P0008,20231101141503,34.34090117989203,0.0022561449799627,1.4863414398007715,0.9859720923057712,rc8.7.0_Beta1
48,P0008,20231101142916,34.44340590887083,0.0022131597869948,1.487533442136724,0.9861825860953792,rc8.7.0_Beta1
49,P0008,20231101145303,33.89053939004561,0.0024344197867437,1.478772737555137,0.9849388833982664,rc8.7.0_Beta1
50,P0008,20231101145908,34.48269238950245,0.0022496746061617,1.4866604312675875,0.9860410266604476,rc8.7.0_Beta1
51,P0008,20240312080322,35.07183866034769,0.0022649918359574,1.4940572797689688,0.9861343889900916,rc8.7.0_Beta1
52,P0008,20240313071948,35.27451067217413,0.0022529369045704,1.496621475542379,0.9862087745147152,rc8.7.0_Beta1
53,P0008,20240314080347,35.08931650949475,0.002276891894501,1.4940328984101603,0.9859689417098368,rc8.7.0_Beta1
54,P0009,20230619164159,33.87387805728585,0.0024223516003271,1.4733697950877098,0.9826772831349544,rc8.6.0
55,P0009,20230621095657,33.93010266904497,0.0023324005273206,1.4745697856091198,0.98352002690577,rc8.6.0
56,P0009,20230622093334,33.89520689750488,0.0023712127067738,1.4739745912965487,0.9830044507170522,rc8.6.0
57,P0009,20230623094531,34.25832048547787,0.0023446992327985,1.478517800910116,0.9833422025457916,rc8.6.0
58,P0009,20230626114009,33.71208247277043,0.0023782666317564,1.4715135198423728,0.983038309613467,rc8.6.0
59,P0009,20230628122618,34.451449183304035,0.002363612000549,1.480362135943782,0.9830605195650814,rc8.6.0
60,P0009,20230629175409,34.31359062354011,0.0023941450745058,1.4789938499012465,0.9826471456503324,rc8.6.0
61,P0009,20230630093957,34.383304963263214,0.0023669985986983,1.4800019100753767,0.9829246137071443,rc8.6.0
62,P0009,20230703094159,33.66778440973388,0.0024423777875239,1.4708346962126202,0.9826091151406344,rc8.6.0
63,P0009,20230704162244,34.01653938059906,0.0023708468988328,1.4752829023695648,0.9830854268082432,rc8.6.0
64,P0009,20230705154338,33.84186006504679,0.002343979374646,1.474396077222724,0.9825812835019752,rc8.6.0
65,P0009,20230707084743,34.05331796464655,0.0023406334197714,1.476261787833042,0.9832114518935292,rc8.6.0
66,P0009,20230710092545,33.99414627905691,0.0023278670620709,1.4750574744825398,0.9830827497520088,rc8.6.0
67,P0009,20230719095652,34.52356082693372,0.0026111538496441,1.4852444478136682,0.9826322664145744,rc8.7.0_Beta1
